flat_id,row_i,q_i,gold,is_mc,question_type,target_predicate_guess,target_score,answer_explanation_mismatch,has_direct_fol_conflict,grammar_flags,expected_verifier_rules,question
generated_v4style_300_13_1,13,1,Unknown,False,other_ynu,PassesCodeReview,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,"According to the premises, is the following statement true? If a developer passes the code review, then the developer writes the code."
generated_v4style_300_14_0,14,0,Yes,False,universal,SubmitsPortfolio,1.0,False,True,,UNIVERSAL_FORWARD_CHAIN,Do all trainees submits a portfolio?
generated_v4style_300_14_1,14,1,No,False,existential,EarnsCertificate,1.0,False,True,VERB_AGREEMENT_ODD,E1_FORALL_NEG_NOT_EXISTS,Does at least one trainee earns a certificate?
generated_v4style_300_15_0,15,0,Yes,False,universal,PassesCodeReview,0.6666666666666666,False,False,,UNIVERSAL_FORWARD_CHAIN,Do all developers code review?
generated_v4style_300_15_1,15,1,Unknown,False,universal,DeploysToProduction,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,Do all developers deploys to production?
generated_v4style_300_16_0,16,0,C,True,mc,CatalogsNewBooks,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement can be inferred?
A. Every librarian catalogs new books.
B. At least one librarian updates the database.
C. No librarian catalogs new books.
D. Some librarians notifies patrons."
generated_v4style_300_16_1,16,1,No,False,existential,UpdatesDatabase,1.0,False,False,,E1_FORALL_NEG_NOT_EXISTS,"According to the premises, is the following statement true? At least one librarian updates the database."
generated_v4style_300_17_0,17,0,Unknown,False,universal,CompletesCoursework,0.5,False,False,UNNATURAL_QUESTION_GRAMMAR,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,Do all students coursework?
generated_v4style_300_17_1,17,1,Unknown,False,universal,EarnsCredit,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,Do all students earns course credit?
generated_v4style_300_18_0,18,0,Unknown,False,universal,FinishesAllModules,0.3333333333333333,False,False,UNNATURAL_QUESTION_GRAMMAR,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,Do all participants program?
generated_v4style_300_18_1,18,1,Unknown,False,universal,FinishesAllModules,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,Do all participants finishes all modules?
generated_v4style_300_19_0,19,0,No,False,existential,AttendsComplianceTraining,1.0,False,False,VERB_AGREEMENT_ODD,E1_FORALL_NEG_NOT_EXISTS,Does at least one employee attends compliance training?
generated_v4style_300_19_1,19,1,Yes,False,universal,HandlesClientAccounts,1.0,False,False,,UNIVERSAL_FORWARD_CHAIN,Do all employees handles client accounts?
generated_v4style_300_20_0,20,0,A,True,mc,PerformsWellOnExam,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement can be inferred?
A. Every student performs well on the exam.
B. No student performs well on the exam.
C. Only some students performs well on the exam.
D. The premises do not support any conclusion about performsing."
generated_v4style_300_20_1,20,1,Yes,False,universal,SolvesProblems,1.0,False,False,,UNIVERSAL_FORWARD_CHAIN,"According to the premises, is the following statement true? Every student solves the problems."
generated_v4style_300_21_0,21,0,B,True,mc,EnrollsInCourse,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement is correct?
A. Every student enrolls in the course.
B. It cannot be determined whether every student enrolls in the course.
C. No student enrolls in the course.
D. Every student who submits all assignments must enrolls."
generated_v4style_300_21_1,21,1,Unknown,False,universal,EnrollsInCourse,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,"According to the premises, is the following statement true? If a student submits all assignments, then the student enrolls in the course."
generated_v4style_300_22_0,22,0,D,True,mc,PassesFinalExam,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement is correct?
A. No student passes the final exam.
B. Every student passes the final exam.
C. At least one student passes the final exam.
D. It cannot be determined whether any student passes the final exam."
generated_v4style_300_22_1,22,1,Unknown,False,universal_negative,PassesFinalExam,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,"According to the premises, is the following statement true? No student passes the final exam."
generated_v4style_300_23_0,23,0,Unknown,False,universal,CompletesLabWork,0.6666666666666666,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,Do all students lab work?
generated_v4style_300_23_1,23,1,Unknown,False,universal,PassesLabComponent,0.6666666666666666,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,Do all students lab component?
generated_v4style_300_24_0,24,0,B,True,mc,AssistsWithActivities,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement is correct?
A. Every volunteer signs up for the event.
B. It cannot be determined whether every volunteer signs up for the event.
C. No volunteer signs up for the event.
D. Every volunteer who assists with activities must signs."
generated_v4style_300_24_1,24,1,Unknown,False,other_ynu,AssistsWithActivities,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,"According to the premises, is the following statement true? If a volunteer assists with activities, then the volunteer signs up for the event."
generated_v4style_300_25_0,25,0,C,True,mc,CompletesOnboarding,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement can be inferred?
A. Every employee completes the onboarding program.
B. At least one employee passes the probation period.
C. No employee completes the onboarding program.
D. Some employees receives full benefits."
generated_v4style_300_25_1,25,1,No,False,existential,PassesProbation,1.0,False,False,,E1_FORALL_NEG_NOT_EXISTS,"According to the premises, is the following statement true? At least one employee passes the probation period."
generated_v4style_300_26_0,26,0,Yes,False,universal,SubmitsPortfolio,1.0,False,False,,UNIVERSAL_FORWARD_CHAIN,Do all trainees submits a portfolio?
generated_v4style_300_26_1,26,1,Unknown,False,universal,JoinsProfessionalBody,0.6666666666666666,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,Do all trainees professional body?
generated_v4style_300_27_0,27,0,No,False,existential,AttendsComplianceTraining,1.0,False,False,VERB_AGREEMENT_ODD,E1_FORALL_NEG_NOT_EXISTS,Does at least one employee attends compliance training?
generated_v4style_300_27_1,27,1,Yes,False,universal,HandlesClientAccounts,1.0,False,False,,UNIVERSAL_FORWARD_CHAIN,Do all employees handles client accounts?
generated_v4style_300_28_0,28,0,Unknown,False,universal,StudiesRegularly,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,Do all students studies regularly?
generated_v4style_300_28_1,28,1,Unknown,False,universal,SolvesProblems,0.5,False,False,UNNATURAL_QUESTION_GRAMMAR,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,Do all students problems?
generated_v4style_300_29_0,29,0,A,True,mc,EnrollsInCourse,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which conclusion follows?
A. At least one student submits all assignments.
B. Every student submits all assignments.
C. No student submits all assignments.
D. At least one student enrolls in the course, but nothing about submits all assignments."
generated_v4style_300_29_1,29,1,Yes,False,universal,ReceivesScholarship,1.0,False,False,,UNIVERSAL_FORWARD_CHAIN,"According to the premises, is the following statement true? Every student receives a scholarship."
generated_v4style_300_30_0,30,0,No,False,existential,GathersRequirements,0.5,False,False,VERB_AGREEMENT_ODD,E1_FORALL_NEG_NOT_EXISTS,Does at least one analyst requirements?
generated_v4style_300_30_1,30,1,Yes,False,universal,DeliversReport,0.5,False,False,UNNATURAL_QUESTION_GRAMMAR,UNIVERSAL_FORWARD_CHAIN,Do all analysts report?
generated_v4style_300_31_0,31,0,A,True,mc,AttendsSeminar,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which conclusion follows?
A. At least one trainee submits a portfolio.
B. Every trainee submits a portfolio.
C. No trainee submits a portfolio.
D. At least one trainee attends the seminar, but nothing about submits a portfolio."
generated_v4style_300_31_1,31,1,Yes,False,universal,JoinsProfessionalBody,1.0,False,False,,UNIVERSAL_FORWARD_CHAIN,"According to the premises, is the following statement true? Every trainee joins the professional body."
generated_v4style_300_32_0,32,0,Yes,False,universal,SubmitsPortfolio,1.0,False,True,,UNIVERSAL_FORWARD_CHAIN,Do all trainees submits a portfolio?
generated_v4style_300_32_1,32,1,No,False,existential,EarnsCertificate,1.0,False,True,VERB_AGREEMENT_ODD,E1_FORALL_NEG_NOT_EXISTS,Does at least one trainee earns a certificate?
generated_v4style_300_33_0,33,0,No,False,existential,EnrollsInCourse,0.3333333333333333,False,False,,E1_FORALL_NEG_NOT_EXISTS,Does at least one student course?
generated_v4style_300_33_1,33,1,Yes,False,universal,ReceivesScholarship,1.0,False,False,,UNIVERSAL_FORWARD_CHAIN,Do all students receives a scholarship?
generated_v4style_300_34_0,34,0,D,True,mc,CompletesAssignedTask,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement is correct?
A. No intern completes the assigned task.
B. Every intern completes the assigned task.
C. At least one intern completes the assigned task.
D. It cannot be determined whether any intern completes the assigned task."
generated_v4style_300_34_1,34,1,Unknown,False,universal_negative,CompletesAssignedTask,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,"According to the premises, is the following statement true? No intern completes the assigned task."
generated_v4style_300_35_0,35,0,A,True,mc,QualifiesForDegree,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement can be inferred?
A. Every student qualifies for the degree.
B. No student qualifies for the degree.
C. Only some students qualifies for the degree.
D. The premises do not support any conclusion about qualifiesing."
generated_v4style_300_35_1,35,1,Yes,False,universal,EarnsCredit,1.0,False,False,,UNIVERSAL_FORWARD_CHAIN,"According to the premises, is the following statement true? Every student earns course credit."
generated_v4style_300_36_0,36,0,Yes,False,universal,ConductsExperiment,1.0,False,True,,UNIVERSAL_FORWARD_CHAIN,Do all researchers conducts experiments?
generated_v4style_300_36_1,36,1,No,False,existential,AnalyzesData,0.5,False,True,,E1_FORALL_NEG_NOT_EXISTS,Does at least one researcher data?
generated_v4style_300_37_0,37,0,No,False,existential,WritesProposal,1.0,False,False,VERB_AGREEMENT_ODD,E1_FORALL_NEG_NOT_EXISTS,Does at least one researcher writes a research proposal?
generated_v4style_300_37_1,37,1,Yes,False,universal,PresentsAtConference,1.0,False,False,,UNIVERSAL_FORWARD_CHAIN,Do all researchers presents at a conference?
generated_v4style_300_38_0,38,0,D,True,mc,UnderstandsConcepts,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement is correct?
A. No student understands the concepts.
B. Every student understands the concepts.
C. At least one student understands the concepts.
D. It cannot be determined whether any student understands the concepts."
generated_v4style_300_38_1,38,1,Unknown,False,universal_negative,UnderstandsConcepts,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,"According to the premises, is the following statement true? No student understands the concepts."
generated_v4style_300_39_0,39,0,B,True,mc,FinishesAllModules,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement can be inferred?
A. At least one participant registers for the program.
B. No participant registers for the program.
C. Every participant finishes all modules.
D. At least one participant finishes all modules."
generated_v4style_300_39_1,39,1,Unknown,False,universal,PassesCertificationExam,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,"According to the premises, is the following statement true? Every participant passes the certification exam."
generated_v4style_300_40_0,40,0,Yes,False,universal,PassesCodeReview,0.6666666666666666,False,True,,UNIVERSAL_FORWARD_CHAIN,Do all developers code review?
generated_v4style_300_40_1,40,1,No,False,existential,MergesBranch,0.5,False,True,,E1_FORALL_NEG_NOT_EXISTS,Does at least one developer branch?
generated_v4style_300_41_0,41,0,Yes,False,universal,ReceivesClearance,1.0,False,False,,UNIVERSAL_FORWARD_CHAIN,Do all employees receives security clearance?
generated_v4style_300_41_1,41,1,Unknown,False,universal,HandlesClientAccounts,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,Do all employees handles client accounts?
generated_v4style_300_42_0,42,0,No,False,existential,RegistersForExam,0.3333333333333333,False,False,,E1_FORALL_NEG_NOT_EXISTS,Does at least one student exam?
generated_v4style_300_42_1,42,1,Yes,False,universal,ScoresAboveThreshold,0.3333333333333333,False,False,UNNATURAL_QUESTION_GRAMMAR,UNIVERSAL_FORWARD_CHAIN,Do all students threshold?
generated_v4style_300_43_0,43,0,A,True,mc,RegistersForExam,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which conclusion follows?
A. At least one student reviews mistakes.
B. Every student reviews mistakes.
C. No student reviews mistakes.
D. At least one student registers for the exam, but nothing about reviews mistakes."
generated_v4style_300_43_1,43,1,Yes,False,universal,ScoresAboveThreshold,1.0,False,False,,UNIVERSAL_FORWARD_CHAIN,"According to the premises, is the following statement true? Every student scores above the threshold."
generated_v4style_300_44_0,44,0,B,True,mc,AssistsWithActivities,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement is correct?
A. Every volunteer signs up for the event.
B. It cannot be determined whether every volunteer signs up for the event.
C. No volunteer signs up for the event.
D. Every volunteer who assists with activities must signs."
generated_v4style_300_44_1,44,1,Unknown,False,other_ynu,AssistsWithActivities,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,"According to the premises, is the following statement true? If a volunteer assists with activities, then the volunteer signs up for the event."
generated_v4style_300_45_0,45,0,Yes,False,universal,PassesLabComponent,0.6666666666666666,False,True,,UNIVERSAL_FORWARD_CHAIN,Do all students lab component?
generated_v4style_300_45_1,45,1,No,False,existential,MeetsGraduationRequirement,0.6666666666666666,False,True,,E1_FORALL_NEG_NOT_EXISTS,Does at least one student graduation requirement?
generated_v4style_300_46_0,46,0,Unknown,False,universal,StudiesRegularly,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,Do all students studies regularly?
generated_v4style_300_46_1,46,1,Unknown,False,universal,SolvesProblems,0.5,False,False,UNNATURAL_QUESTION_GRAMMAR,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,Do all students problems?
generated_v4style_300_47_0,47,0,B,True,mc,GradesAssignments,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement is correct?
A. Every teacher prepares the curriculum.
B. It cannot be determined whether every teacher prepares the curriculum.
C. No teacher prepares the curriculum.
D. Every teacher who grades the assignments must prepares."
generated_v4style_300_47_1,47,1,Unknown,False,other_ynu,GradesAssignments,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,"According to the premises, is the following statement true? If a teacher grades the assignments, then the teacher prepares the curriculum."
generated_v4style_300_48_0,48,0,A,True,mc,ReceivesOffer,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement can be inferred?
A. Every candidate receives an offer.
B. No candidate receives an offer.
C. Only some candidates receives an offer.
D. The premises do not support any conclusion about receivesing."
generated_v4style_300_48_1,48,1,Yes,False,universal,ClearsInterview,1.0,False,False,,UNIVERSAL_FORWARD_CHAIN,"According to the premises, is the following statement true? Every candidate clears the interview."
generated_v4style_300_49_0,49,0,B,True,mc,CompletesGroupProject,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement is correct?
A. Every student joins the study group.
B. It cannot be determined whether every student joins the study group.
C. No student joins the study group.
D. Every student who completes the group project must joins."
generated_v4style_300_49_1,49,1,Unknown,False,other_ynu,CompletesGroupProject,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,"According to the premises, is the following statement true? If a student completes the group project, then the student joins the study group."
generated_v4style_300_50_0,50,0,D,True,mc,TakesPracticeTest,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement is correct?
A. No student takes a practice test.
B. Every student takes a practice test.
C. At least one student takes a practice test.
D. It cannot be determined whether any student takes a practice test."
generated_v4style_300_50_1,50,1,Unknown,False,universal_negative,TakesPracticeTest,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,"According to the premises, is the following statement true? No student takes a practice test."
generated_v4style_300_51_0,51,0,Unknown,False,universal,SubmitsApplication,0.5,False,False,UNNATURAL_QUESTION_GRAMMAR,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,Do all candidates application?
generated_v4style_300_51_1,51,1,Unknown,False,universal,ClearsInterview,0.5,False,False,UNNATURAL_QUESTION_GRAMMAR,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,Do all candidates interview?
generated_v4style_300_52_0,52,0,A,True,mc,MeetsGraduationRequirement,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement can be inferred?
A. Every student meets the graduation requirement.
B. No student meets the graduation requirement.
C. Only some students meets the graduation requirement.
D. The premises do not support any conclusion about meetsing."
generated_v4style_300_52_1,52,1,Yes,False,universal,PassesLabComponent,1.0,False,False,,UNIVERSAL_FORWARD_CHAIN,"According to the premises, is the following statement true? Every student passes the lab component."
generated_v4style_300_53_0,53,0,C,True,mc,PassesCodeReview,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement can be inferred?
A. Every developer writes the code.
B. At least one developer runs the unit tests.
C. No developer writes the code.
D. Some developers passes the code review."
generated_v4style_300_53_1,53,1,No,False,existential,RunsUnitTests,1.0,False,False,,E1_FORALL_NEG_NOT_EXISTS,"According to the premises, is the following statement true? At least one developer runs the unit tests."
generated_v4style_300_54_0,54,0,A,True,mc,ClearsInterview,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which conclusion follows?
A. At least one candidate clears the interview.
B. Every candidate clears the interview.
C. No candidate clears the interview.
D. At least one candidate submits the application, but nothing about clears the interview."
generated_v4style_300_54_1,54,1,Yes,False,universal,StartsPosition,1.0,False,False,,UNIVERSAL_FORWARD_CHAIN,"According to the premises, is the following statement true? Every candidate starts the position."
generated_v4style_300_55_0,55,0,B,True,mc,PassesCodeReview,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement is correct?
A. Every developer writes the code.
B. It cannot be determined whether every developer writes the code.
C. No developer writes the code.
D. Every developer who passes the code review must writes."
generated_v4style_300_55_1,55,1,Unknown,False,other_ynu,PassesCodeReview,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,"According to the premises, is the following statement true? If a developer passes the code review, then the developer writes the code."
generated_v4style_300_56_0,56,0,Yes,False,universal,ProvidesFeedback,1.0,False,True,,UNIVERSAL_FORWARD_CHAIN,Do all mentors provides feedback?
generated_v4style_300_56_1,56,1,No,False,existential,SetsDevelopmentGoals,1.0,False,True,VERB_AGREEMENT_ODD,E1_FORALL_NEG_NOT_EXISTS,Does at least one mentor sets development goals?
generated_v4style_300_57_0,57,0,D,True,mc,CompletesAssignedTask,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement is correct?
A. No intern completes the assigned task.
B. Every intern completes the assigned task.
C. At least one intern completes the assigned task.
D. It cannot be determined whether any intern completes the assigned task."
generated_v4style_300_57_1,57,1,Unknown,False,universal_negative,CompletesAssignedTask,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,"According to the premises, is the following statement true? No intern completes the assigned task."
generated_v4style_300_58_0,58,0,D,True,mc,ReceivesGrant,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement is correct?
A. No researcher receives a grant.
B. Every researcher receives a grant.
C. At least one researcher receives a grant.
D. It cannot be determined whether any researcher receives a grant."
generated_v4style_300_58_1,58,1,Unknown,False,universal_negative,ReceivesGrant,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,"According to the premises, is the following statement true? No researcher receives a grant."
generated_v4style_300_59_0,59,0,D,True,mc,AttendsAllLectures,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement is correct?
A. No student attends all lectures.
B. Every student attends all lectures.
C. At least one student attends all lectures.
D. It cannot be determined whether any student attends all lectures."
generated_v4style_300_59_1,59,1,Unknown,False,universal,AttendsAllLectures,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,"According to the premises, is the following statement true? No student attends all lectures."
generated_v4style_300_60_0,60,0,D,True,mc,PassesComplianceQuiz,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement is correct?
A. No employee passes the compliance quiz.
B. Every employee passes the compliance quiz.
C. At least one employee passes the compliance quiz.
D. It cannot be determined whether any employee passes the compliance quiz."
generated_v4style_300_60_1,60,1,Unknown,False,universal_negative,PassesComplianceQuiz,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,"According to the premises, is the following statement true? No employee passes the compliance quiz."
generated_v4style_300_61_0,61,0,Yes,False,universal,EarnsCredit,1.0,False,False,,UNIVERSAL_FORWARD_CHAIN,Do all students earns course credit?
generated_v4style_300_61_1,61,1,Unknown,False,universal,GraduatesUniversity,0.5,False,False,UNNATURAL_QUESTION_GRAMMAR,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,Do all students university?
generated_v4style_300_62_0,62,0,D,True,mc,UpdatesDatabase,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement is correct?
A. No librarian updates the database.
B. Every librarian updates the database.
C. At least one librarian updates the database.
D. It cannot be determined whether any librarian updates the database."
generated_v4style_300_62_1,62,1,Unknown,False,universal_negative,UpdatesDatabase,1.0,False,False,,UNKNOWN_UNSUPPORTED_OR_AMBIGUOUS,"According to the premises, is the following statement true? No librarian updates the database."
generated_v4style_300_63_0,63,0,C,True,mc,DesignsStudy,1.0,False,False,,MC_OPTION_PROOF_ANALYSIS,"Based on the premises, which statement can be inferred?
A. Every researcher reads the literature.
B. At least one researcher identifies a research gap.
C. No researcher reads the literature.
D. Some researchers designs a study."
